url_length,n_slash,n_questionmark,n_equal,n_at,n_and,n_exclamation,n_asterisk,n_hastag,n_percent,dots_per_length,hyphens_per_length,is_long_url,has_many_dots,has_ssl,is_cloudflare_protected,special_char_density,suspicious_tld_risk,has_redirects,risk_score,url_complexity,phishing
90,0,0,0,0,0,0,0,0,0,0.04395604395604396,0.0,1,0,0,0,0.0,0,1,5.0,2.9,1
45,0,0,0,0,0,0,0,0,0,0.06521739130434782,0.0,0,0,1,1,0.0,1,1,-1.0,1.95,0
55,0,0,0,0,0,0,0,0,0,0.05357142857142857,0.0,0,0,1,1,0.017857142857142856,0,0,-3.821428571428571,2.05,0
65,0,0,0,0,0,0,0,0,0,0.045454545454545456,0.030303030303030304,0,0,0,0,0.030303030303030304,0,0,0.30303030303030304,2.75,1
41,0,0,0,0,0,0,0,0,0,0.047619047619047616,0.023809523809523808,0,0,0,0,0.023809523809523808,2,0,0.23809523809523808,1.7100000000000002,1
71,0,1,1,0,0,0,0,0,0,0.027777777777777776,0.013888888888888888,0,0,0,0,0.041666666666666664,0,0,0.41666666666666663,3.41,1
83,0,1,1,0,0,0,0,0,0,0.023809523809523808,0.0,1,0,0,0,0.011904761904761904,1,0,2.119047619047619,3.2300000000000004,1
73,0,0,0,0,0,0,0,0,0,0.013513513513513514,0.013513513513513514,0,0,0,0,0.013513513513513514,0,0,0.13513513513513514,1.53,1
44,0,0,0,0,0,0,0,0,0,0.044444444444444446,0.044444444444444446,0,0,0,0,0.044444444444444446,1,1,3.4444444444444446,2.04,1
114,0,1,1,0,0,0,0,0,0,0.034782608695652174,0.008695652173913044,1,0,0,0,0.017391304347826087,1,0,2.1739130434782608,4.84,1
127,0,1,3,0,2,0,0,0,0,0.03125,0.0078125,1,0,0,0,0.046875,1,1,5.46875,6.369999999999999,1
99,0,1,1,1,0,0,0,0,0,0.04,0.0,1,0,0,0,0.02,1,1,5.2,6.390000000000001,1
56,0,0,0,0,0,0,0,0,0,0.03508771929824561,0.017543859649122806,0,0,1,0,0.017543859649122806,1,0,-1.8245614035087718,1.86,1
51,0,0,0,0,0,0,0,0,0,0.057692307692307696,0.0,0,0,1,1,0.0,0,1,-1.0,2.01,0
51,0,0,0,0,0,0,0,0,0,0.09615384615384616,0.0,0,1,0,0,0.0,2,1,4.5,3.01,1
40,0,0,0,0,0,0,0,0,0,0.04878048780487805,0.024390243902439025,0,0,1,1,0.024390243902439025,0,1,-0.7560975609756095,1.7,0
33,0,0,0,0,0,0,0,0,0,0.08823529411764706,0.0,0,0,0,0,0.0,2,1,3.0,1.83,1
88,0,0,0,0,0,0,0,0,0,0.02247191011235955,0.056179775280898875,1,0,1,0,0.056179775280898875,0,0,0.5617977528089888,3.38,0
122,0,0,0,0,0,0,0,0,0,0.016260162601626018,0.0,1,0,1,0,0.10569105691056911,0,0,1.0569105691056908,2.2199999999999998,0
53,0,0,0,0,0,0,0,0,0,0.05555555555555555,0.0,0,0,1,1,0.0,2,1,-1.0,2.0300000000000002,0
46,0,0,0,0,0,0,0,0,0,0.1276595744680851,0.02127659574468085,0,1,0,0,0.02127659574468085,2,1,4.712765957446809,3.76,1
36,0,0,0,0,0,0,0,0,0,0.05405405405405406,0.0,0,0,0,0,0.0,0,1,3.0,1.3599999999999999,1
31,0,0,0,0,0,0,0,0,0,0.0625,0.0,0,0,1,0,0.0,0,0,-2.0,1.31,0
